,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,Severity,Unnamed: 16,round_time,date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
0,37.3175,-122.09219,295.9,0.37,0.58,2020-01-04,10:42:00,N20,J1 VIIRS C1,n,2.0NRT,280.4,0.5,N,,29.43750672,,11:00:00,2020-01-04 11:00:00+00:00,4.7904997,92.58354,3.6904998,2.6227307,0.0,0.0,0.0,0.0,1.0,1026.7,1001.7035,33.3,4.0,0.0,99.0,0.0,0.06392181,4.6938257,5.8603754,212.47118,222.5104,12.959999,6.1405,9.0905,11.1905,16.8405,0.429,0.445,0.422,0.378
1,37.45576,-121.93266,298.7,0.38,0.58,2020-01-04,10:42:00,N20,J1 VIIRS C1,n,2.0NRT,276.9,0.2,N,,29.71214213,,11:00:00,2020-01-04 11:00:00+00:00,7.3025002,94.01302,6.4025,5.7623014,0.0,0.0,0.0,0.0,1.0,1026.8,1026.5498,30.6,1.0,0.0,99.0,0.0,0.06137079,4.3349743,6.8777895,175.23645,137.12111,7.92,6.3525,9.6525,12.002501,17.4525,0.352,0.37,0.377,0.347
2,37.31704,-122.09343,301.3,0.42,0.45,2020-01-05,10:24:00,N20,J1 VIIRS C1,n,2.0NRT,280.6,0.9,N,,29.97975399,,10:00:00,2020-01-05 10:00:00+00:00,5.3015,90.68399,3.9015,2.7082777,0.0,0.0,0.0,0.0,0.0,1032.2,1006.37744,4.8,5.0,0.0,1.0,0.0,0.08320087,7.8954163,20.46941,294.22772,304.24908,22.319998,5.8015,9.3015,11.151501,16.7015,0.418,0.436,0.421,0.378
3,37.31878,-122.09222,296.0,0.41,0.37,2020-01-06,10:06:00,N20,J1 VIIRS C1,n,2.0NRT,280.0,0.8,N,,29.45131372,,10:00:00,2020-01-06 10:00:00+00:00,4.399,84.70544,2.049,1.2827692,0.0,0.0,0.0,0.0,0.0,1033.5,1009.41547,0.0,0.0,0.0,0.0,0.00035491853,0.12826532,9.114471,12.287555,279.09018,301.8274,18.359999,5.149,8.849,11.249001,16.699,0.413,0.432,0.421,0.378
4,37.45645,-121.93143,305.3,0.41,0.37,2020-01-06,10:06:00,N20,J1 VIIRS C1,n,2.0NRT,276.6,0.9,N,,30.37760559,,10:00:00,2020-01-06 10:00:00+00:00,7.909,95.01192,7.159,6.521345,0.0,0.0,0.0,0.0,0.0,1033.4,1033.2744,0.0,0.0,0.0,0.0,0.0,0.0532887,4.510787,12.538134,331.38962,320.82635,10.440001,5.309,9.359,11.959001,17.209,0.339,0.358,0.374,0.348
5,37.45734,-121.93303,302.8,0.41,0.37,2020-01-07,09:48:00,N20,J1 VIIRS C1,n,2.0NRT,275.9,0.6,N,,30.12508763,,10:00:00,2020-01-07 10:00:00+00:00,8.007,74.27837,3.7069998,5.9499025,0.0,0.0,0.0,0.0,0.0,1025.9,1024.7789,0.0,0.0,0.0,0.0,0.0,0.27663904,3.96,8.891344,180.0,201.37068,7.2,5.157,9.007,11.757,17.057001,0.331,0.353,0.373,0.348
6,37.31814,-122.09075,302.4,0.42,0.37,2020-01-07,09:48:00,N20,J1 VIIRS C1,n,2.0NRT,280.1,1.0,N,,30.09045008,,10:00:00,2020-01-07 10:00:00+00:00,7.014,52.55678,-2.036,3.8440666,0.0,0.0,0.0,0.0,0.0,1025.9,1003.43036,0.0,0.0,0.0,0.0,0.015532947,0.47681576,5.154415,4.6102495,204.77512,231.34016,7.5599995,4.9639997,8.613999,11.214,16.664001,0.395,0.421,0.42,0.379
7,37.18483,-121.67795,296.7,0.41,0.37,2020-01-07,09:48:00,N20,J1 VIIRS C1,n,2.0NRT,276.9,0.8,N,,29.52093775,,10:00:00,2020-01-07 10:00:00+00:00,6.8985004,66.31497,1.0485001,4.1214514,0.0,0.0,0.0,0.0,0.0,1025.3,1005.15186,0.0,0.0,0.0,0.0,0.007463518,0.335886,5.6233797,8.473393,320.1945,347.73523,12.959999,5.0485,8.7485,11.0985,15.948501,0.414,0.436,0.455,0.424
8,37.18447,-121.68083,298.7,0.41,0.37,2020-01-07,09:48:00,N20,J1 VIIRS C1,n,2.0NRT,276.2,0.8,N,,29.71986355,,10:00:00,2020-01-07 10:00:00+00:00,7.0610003,66.3508,1.2110001,4.310897,0.0,0.0,0.0,0.0,0.0,1025.3,1008.22125,0.0,0.0,0.0,0.0,0.007502007,0.3392861,5.6233797,8.473393,320.1945,347.73523,12.959999,5.211,8.911,11.261,16.111,0.414,0.436,0.455,0.424
9,37.453804,-121.93206,306.39,0.47,0.4,2020-01-10,09:42:00,N,SUOMI VIIRS C2,n,1,274.44,1.14,N,2.0,28.96465328,,10:00:00,2020-01-10 10:00:00+00:00,6.0525002,89.1659,4.4025,3.7531662,0.0,0.0,0.0,0.0,0.0,1023.9,1023.6495,0.0,0.0,0.0,0.0,0.0,0.10192317,6.5693827,4.829907,99.46225,63.435013,9.72,4.9525003,9.252501,11.7025,16.7525,0.362,0.352,0.373,0.349
